id	bank8k	prg_offset	file_offset	capacity	display_limit	original_hex	original_text	translation	ui_width	ui_lines	wrapped_preview	encoded_length
D0307	03	06CF0	06D00	104		8B AE 88 AD 99 FF 85 81 88 91 8B 8F 0D FF 05 99 FF E7 D9 AE D2 C1 BF E7 D9 AE FC 98 9D 93 A7 95 8F 8F 8C AE AD 92 AE 81 8F BF 81 91 A2 98 A5 82 95 FF 8F 99 AE 89 AC 93 A7 8F AE 8B 92 9A AC 91 88 8F BF FF 8E 8B 92 FF 85 AB 98 A0 89 82 95 90 81 8A 87 9A 85 A8 80 85 A7 AC FF 81 91 9E 92 AE A2 9F 91 A1 92 81 8F 0D	じけんは かいけつした・・・ J.B.は リバテイ。リバーのほとりにたたずんでいた。いつものように たばこをとりだしてひをつけた。 そして かわのむこうにちいさくひかるあかりを いつまでもみつめていた・・・	Дело раскрыто.J.B. стоял у Либерти Ривер.Закурил как всегда и долго смотрел на далёкий огонёк за рекой...	26	4	Дело раскрыто.J.B. стоял у | Либерти Ривер.Закурил как | всегда и долго смотрел на | далёкий огонёк за рекой...	102
D0308	03	06D59	06D69	7		81 91 9E 92 AE A2 9F	いつまでもみ	долго смотрел.	26	4	долго смотрел.	14
D0309	03	06D61	06D71	20		89 89 95 99 FF 9D 85 95 FF 9A 93 99 81 94 81 A5 82 8F AE BF	ここには ほかに ひとはいないようだ。	Здесь больше никого нет.	26	4	Здесь больше никого нет.	24
D0310	03	06D76	06D86	16		A5 AD 8F AE 9A 93 99 FF 05 98 9E 83 95 81 8F BF	よんだひとは J.B.のまえにいた。	Вызванный стоял перед J.B.	26	4	Вызванный стоял перед J.B.	23
D0311	03	06D87	06D97	30		05 99 FF 89 98 81 83 98 FF 85 8F 87 8E 82 8A 87 98 86 B3 85 AC 93 B0 92 81 94 85 B0 8F BF	J.B.は このいえの かたくそうさくのきょかをとっていなかった。	У J.B. не было ордера на обыск этого дома.	26	4	У J.B. не было ордера на | обыск этого дома.	39
D0312	03	06DA6	06DB6	34		8E 82 8A 87 98 FF 86 B3 85 8B AE B3 82 AC 9F 8D A8 93 FF 8E 98 9A 93 99 8E 98 99 AE AC 99 94 A9 8F BF	そうさくの きょかじょうをみせると そのひとはそのばをはなれた。	J.B. показал ордер и человек вышел.	26	4	J.B. показал ордер и | человек вышел.	32
D0313	03	06DC9	06DD9	37		89 89 92 AE 99 FF 89 A9 81 8B AE B3 82 FF 92 85 AE 85 A7 99 9F 91 85 A7 8E 82 A2 94 81 A5 82 95 84 A2 83 8F BF	ここでは これいじょう てがかりはみつかりそうもないようにおもえた。	Похоже здесь больше нет улик.	26	4	Похоже здесь больше нет | улик.	29
D0314	03	06DEF	06DFF	31		8B AE 88 AD 98 85 81 88 91 95 FF A3 87 8F AE 90 8E 82 94 A2 98 99 FF 94 95 A2 94 85 B0 8F BF	じけんのかいけつに やくだちそうなものは なにもなかった。	Ничего полезного для дела не было.	26	4	Ничего полезного для дела | не было.	34
D0315	03	06E0F	06E1F	8		05 99 8E 89 95 81 8F BF	J.B.はそこにいた。	J.B. был здесь.	26	4	J.B. был здесь.	12
D0316	03	06E18	06E28	21		05 95 A5 99 AE A9 92 FF 81 83 98 9A 93 85 AE A3 B0 92 86 8F BF	J.B.によばれて いえのひとがやってきた。	На зов J.B. пришёл хозяин.	26	4	На зов J.B. пришёл хозяин.	23
D0317	03	06E2E	06E3E	30		05 85 AE 8E 82 8A AC 91 91 AE 88 A8 93 FF 8E 98 9A 93 99 FF 8E 98 99 AE AC 99 94 A9 8F BF	J.B.がそうさをつづけると そのひとは そのばをはなれた。	J.B. продолжил обыск.Человек вышел.	26	4	J.B. продолжил | обыск.Человек вышел.	32
D0318	03	06E4D	06E5D	20		05 95 A5 99 AE A9 92 FF 9D AD 95 AD 85 AE 80 A6 AB A9 8F BF	J.B.によばれて ほんにんがあらわれた。	На зов J.B. появился нужный человек.	26	4	На зов J.B. появился | нужный человек.	33
D0319	03	06E62	06E72	10		8F AE A9 A2 81 94 85 B0 8F BF	だれもいなかった。	Никого нет.	26	4	Никого нет.	11
D0320	03	06E6D	06E7D	12		05 99 8E 82 8A 95 92 AE 85 88 8F BF	J.B.はそうさにでかけた。	J.B. выехал на следствие.	26	4	J.B. выехал на следствие.	22
D0321	03	06E7A	06E8A	19		8F 81 9D 8A A9 92 81 92 FF 8F AE A9 A2 81 94 85 B0 8F BF	たいほされていて だれもいなかった。	Все арестованы.Здесь никого нет.	26	4	Все арестованы.Здесь | никого нет.	32
D0322	03	06E8E	06E9E	29		05 99 FF 9A 85 AE 81 8B B1 85 AE FF 88 81 83 81 8B 92 81 8F FF 85 81 8B B1 95 86 8F BF	J.B.は ひがいしゃが けいえいしていた かいしゃにきた。	J.B. прибыл в фирму жертвы.	26	4	J.B. прибыл в фирму | жертвы.	24
D0323	03	06EAC	06EBC	26		81 A7 87 AE 90 95 99 FF 80 8F A6 8B 81 FF 87 A8 9E 85 AE 93 9E B0 92 81 8F BF	いりぐちには あたらしい くるまがとまっていた。	У входа стояла новая машина.	26	4	У входа стояла новая | машина.	28
D0324	03	06EC7	06ED7	18		05 99 EA DA AE EC CC AE 8B B3 82 85 81 AC 92 AE 8F BF	J.B.はロビヲズしょうかいをでた。	J.B. вышел из Роббинс Компани.	26	4	J.B. вышел из Роббинс | Компани.	27
D0325	03	06EDA	06EEA	9		94 95 85 89 AE A5 82 0A 85	なにかごようですか	Вам что-то нужно?	26	4	Вам что-то нужно?	17
D0326	03	06EE4	06EF4	8		9E 8F AE FF 94 95 85 FE	まだ なにか？	Ещё что-то?	26	4	Ещё что-то?	11
D0327	03	06EED	06EFD	33		C4 DB C1 CC 92 AE 99 FF 94 95 A2 94 85 B0 8F A5 82 95 8B B1 81 AD 85 AE FF 99 8F A6 81 92 81 8F BF	オフイスでは なにもなかったようにしゃいんが はたらいていた。	В офисе сотрудники работали будто ничего не случилось.	26	4	В офисе сотрудники | работали будто ничего не | случилось.	54
D0328	03	06F0F	06F1F	32		8B B1 90 B3 82 98 89 93 94 A6 FF 85 81 90 B3 82 85 AE FF 82 85 85 AE 09 98 92 AE 93 AE 82 8E AE	しゃちょうのことなら かいちょうが うかがいますのでどうぞ	О шефе спросите председателя.Проходите.	26	4	О шефе спросите | председателя.Проходите.	39
D0329	03	06F30	06F40	23		85 81 90 B3 82 99 84 A7 08 98 92 AE FF 84 9A 86 93 A7 87 8F AE 8A 81	かいちょうはおりませんので おひきとりください	Председателя нет.Прошу уйти.	26	4	Председателя нет.Прошу | уйти.	28
D0330	03	06F48	06F58	20		05 99 FF 8B B1 90 B3 82 8B 91 95 FF 80 AD 94 81 8A A9 8F BF	J.B.は しゃちょうしつに あんないされた。	J.B. провели в кабинет шефа.	26	4	J.B. провели в кабинет | шефа.	25
D0331	03	06F5D	06F6D	20		85 81 90 B3 82 99 9B 86 88 AE AD 8E 82 95 FF 05 AC 9F 8F BF	かいちょうはふきげんそうに J.B.をみた。	Председатель хмуро посмотрел на J.B.	26	4	Председатель хмуро | посмотрел на J.B.	33
D0332	03	06F72	06F82	26		05 99 FF DD E8 D2 AE C1 EC C7 AE 98 FF 88 8B B3 82 9A AD 85 81 8B B1 95 86 8F	J.B.は ホルデイヲグの けしょうひんかいしゃにきた	J.B. пришёл в косметическую фирму Холдингов.	26	4	J.B. пришёл в | косметическую фирму | Холдингов.	41
D0333	03	06F8D	06F9D	20		84 84 86 94 FF DD AF CC CF FC 85 AE FF 99 B0 92 80 B0 8F BF	おおきな ポスターが はってあった。	На стене висел большой плакат.	26	4	На стене висел большой | плакат.	30
D0334	03	06FA2	06FB2	11		05 99 C4 DB C1 CC AC 92 AE 8F BF	J.B.はオフイスをでた。	J.B. вышел из офиса.	26	4	J.B. вышел из офиса.	17
D0335	03	06FAE	06FBE	9		81 A6 B0 8B B1 81 9E 8D BF	いらっしゃいませ。	Добро пожаловать.	26	4	Добро пожаловать.	17
D0336	03	06FBA	06FCA	22		80 9E 81 C9 EA EC 98 85 84 A7 85 AE FF 8F 8F AE A5 B0 92 81 8F BF	あまいコロヲのかおりが ただよっていた。	В воздухе был сладкий запах одеколона.	26	4	В воздухе был сладкий | запах одеколона.	38
D0337	03	06FD1	06FE1	15		8D AD A0 94 A6 84 A7 9E 8C BF 93 AE 82 8E AE	せんむならおります。どうぞ	Директор здесь.Проходите.	26	4	Директор здесь.Проходите.	25
D0338	03	06FE2	06FF2	12		05 99 FF 84 87 9C 93 84 8A A9 8F BF	J.B.は おくへとおされた。	J.B. провели в глубь офиса.	26	4	J.B. провели в глубь | офиса.	24
D0339	03	06FEF	06FFF	10		88 81 8A 91 98 85 8F 0A 85 BF	けいさつのかたですか。	Вы из полиции?	26	4	Вы из полиции?	14
D0340	03	06FFA	0700A	15		05 99 FF 9B 93 AE 82 8A AD A3 95 91 81 8F BF	J.B.は ふどうさんやについた。	J.B. пришёл в агентство недвижимости.	26	4	J.B. пришёл в агентство | недвижимости.	34
D0341	03	0700A	0701A	24		9E 93 AE 95 99 FF 9B AE B0 88 AD 98 FF 99 A7 85 AE 9F 85 AE 9F 83 8F BF	まどには ぶっけんの はりがみがみえた。	В окне висели объявления о домах.	26	4	В окне висели объявления о | домах.	33
D0342	03	07023	07033	14		05 99 9B 93 AE 82 8A AD A3 AC 92 AE 8F BF	J.B.はふどうさんやをでた。	J.B. вышел из агентства.	26	4	J.B. вышел из агентства.	21
D0343	03	07032	07042	10		94 95 85 89 AE A5 82 0A 85 FE	なにかごようですか？	Что вам нужно?	26	4	Что вам нужно?	14
D0344	03	0703D	0704D	9		80 94 8F 92 AE 8B 8F 85 0D	あなたでしたか・・・	А это вы...	26	4	А это вы...	11
D0345	03	07047	07057	20		8B AE A0 8B B3 95 99 FF 9D 85 95 8F AE A9 A2 81 94 85 B0 8F	じむしょには ほかにだれもいなかった	В офисе больше никого не было.	26	4	В офисе больше никого не | было.	30
D0346	03	0705D	0706D	32		CB AE F3 FC BF C6 F1 E7 EC D3 EC 99 8F 81 9D 8A A9 92 84 A7 FF D3 AE C0 99 8B 9E B0 92 81 8F BF	ジョー。キャリヲトヲはたいほされており ドアはしまっていた。	Джо Кэррингтон арестован.Дверь закрыта.	26	4	Джо Кэррингтон | арестован.Дверь закрыта.	39
D0347	03	07080	07090	21		05 99 FF 83 81 85 AE 85 AD 98 9E 83 92 AE 80 8B AC 93 A1 8F BF	J.B.は えいがかんのまえであしをとめた。	J.B. остановился у кинотеатра.	26	4	J.B. остановился у | кинотеатра.	27
D0348	03	07096	070A6	20		84 A2 92 95 99 FF DD AF CC CF FC 85 AE FF 99 B0 92 80 B0 8F	おもてには ポスターが はってあった	Снаружи висел плакат.	26	4	Снаружи висел плакат.	21
D0349	03	070AB	070BB	13		05 99 83 81 85 AE 85 AD AC 92 AE 8F BF	J.B.はえいがかんをでた。	J.B. вышел из кинотеатра.	26	4	J.B. вышел из кинотеатра.	22
D0350	03	070B9	070C9	16		86 B0 9B AF AC 84 A2 93 A1 87 8F AE 8A 81 97 BF	きっぷをおもとめくださいね。	Купите билет пожалуйста.	26	4	Купите билет пожалуйста.	24
D0351	03	070CA	070DA	10		80 A6 FF 88 81 8B AE 8A AD BF	あら けいじさん。	О детектив.	26	4	О детектив.	11
D0352	03	070D5	070E5	19		85 AD 94 81 99 FF 9A 93 85 AE 9E 99 AE A6 8F AE B0 8F BF	かんないは ひとがまばらだった。	В зале было мало людей.	26	4	В зале было мало людей.	23
D0353	03	070ED	070FD	31		05 99 FF 0B BF EA DA AE EC CC AE 85 AE FF 8A 81 89 AE 95 A5 B0 8F FF D9 AF DB AE 95 86 8F BF	J.B.は ビル。ロビヲズが さいごによった パブにきた。	J.B. пришёл в паб где Билл был последним вечером.	26	4	J.B. пришёл в паб где Билл | был последним вечером.	46
D0354	03	0710D	0711D	18		A0 89 82 95 99 FF 85 AB 85 AE 94 85 AE A9 92 81 8F BF	むこうには かわがながれていた。	За пабом текла река.	26	4	За пабом текла река.	20
D0355	03	07120	07130	35		0B BF EA DA AE EC CC AE 99 FF 89 98 80 93 FF 93 AE 89 95 81 B0 8F 98 85 0D FF 05 99 9F 8D AC 92 AE 8F BF	ビル。ロビヲズは このあと どこにいったのか・・・ J.B.はみせをでた。	Куда Билл пошёл потом?J.B. вышел.	26	4	Куда Билл пошёл потом?J.B. | вышел.	30
D0356	03	07144	07154	12		88 81 8B AE 8A AD 92 AE 8B 8F 85 BF	けいじさんでしたか。	Вы детектив?	26	4	Вы детектив?	12
D0357	03	07151	07161	14		9E 8F AE FF 94 95 85 89 AE A5 82 0A 85 BF	まだ なにかごようですか。	Ещё что-то нужно?	26	4	Ещё что-то нужно?	17
D0358	03	07160	07170	21		85 81 92 AD 9E 83 92 AE FF 94 85 99 8B 8C AE 85 8F AE B0 8F BF	かいてんまえで なかはしずかだった。	До открытия внутри было тихо.	26	4	До открытия внутри было | тихо.	29
D0359	03	0717A	0718A	26		05 99 FF E7 D9 AE D2 C1 BF D9 AE EC C7 93 81 82 FF 86 AE AD 89 82 95 86 8F BF	J.B.は リバテイ。バヲクという ぎんこうにきた。	J.B. пришёл в Либерти Банк.	26	4	J.B. пришёл в Либерти | Банк.	24
D0360	03	07195	071A5	18		9E AB A7 95 99 FF 85 AB B0 8F A2 98 99 94 85 B0 8F BF	まわりには かわったものはなかった。	Ничего необычного вокруг не было.	26	4	Ничего необычного вокруг | не было.	33
D0361	03	071A8	071B8	19		05 99 FF 86 AE AD 89 82 98 85 81 8F AE AD AC 84 A7 8F BF	J.B.は ぎんこうのかいだんをおりた。	J.B. спустился по лестнице банка.	26	4	J.B. спустился по лестнице | банка.	30
D0362	03	071BC	071CC	9		81 A6 B0 8B B1 81 9E 8D BF	いらっしゃいませ。	Добро пожаловать.	26	4	Добро пожаловать.	17
D0363	03	071C8	071D8	17		94 85 95 99 FF 8F 87 8A AD 98 9A 93 85 AE 81 8F BF	なかには たくさんのひとがいた。	Внутри было много людей.	26	4	Внутри было много людей.	24
D0364	03	071DA	071EA	28		93 82 93 AE A7 95 FF 84 80 81 95 94 A7 8F 81 98 94 A6 FF 89 AE 80 AD 94 81 8B 9E 8C	とうどりに おあいになりたいのなら ごあんないします	Хотите видеть управляющего?Я провожу.	26	4	Хотите видеть | управляющего?Я провожу.	37
D0365	03	071F9	07209	20		05 99 FF 93 82 93 AE A7 98 9C A3 95 80 AD 94 81 8A A9 8F BF	J.B.は とうどりのへやにあんないされた。	J.B. провели в кабинет управляющего.	26	4	J.B. провели в кабинет | управляющего.	33
D0366	03	0720E	0721E	29		93 82 93 AE A7 99 FF 88 81 8B AE 98 9D 82 A2 AD 95 FF A1 81 AB 87 8E 82 8F AE B0 8F BF	とうどりは けいじのほうもんに めいわくそうだった。	Управляющий был недоволен визитом.	26	4	Управляющий был недоволен | визитом.	34
D0367	03	0722C	0723C	21		05 99 FF D9 EC D9 AE FC C5 AE FC BF CB F3 F0 DB AF 95 86 8F BF	J.B.は ハヲバーガー。ショップにきた。	J.B. пришёл в бургерную.	26	4	J.B. пришёл в бургерную.	21
D0368	03	07242	07252	21		84 81 8B 8E 82 94 95 84 81 85 AE FF 8F 8F AE A5 B0 92 86 8F BF	おいしそうなにおいが ただよってきた。	Пахло вкусной едой.	26	4	Пахло вкусной едой.	19
D0369	03	07258	07268	10		05 99 FF 9F 8D AC 92 AE 8F BF	J.B.は みせをでた。	J.B. вышел из кафе.	26	4	J.B. вышел из кафе.	16
D0370	03	07263	07273	9		81 A6 B0 8B B1 81 9E 8D BF	いらっしゃいませ。	Добро пожаловать.	26	4	Добро пожаловать.	17
D0371	03	0726D	0727D	20		81 A6 B0 8B B1 81 9E 8D FF DD AF D2 D3 AC 93 AE 82 8E AE BF	いらっしゃいませ ポテトをどうぞ。	Добро пожаловать.Возьмите картофель.	26	4	Добро пожаловать.Возьмите | картофель.	36
D0372	03	07282	07292	22		9F 8D 99 FF 86 B1 87 92 AE FF 89 AE B0 8F 85 AE 83 8B 92 81 8F BF	みせは きゃくで ごったがえしていた。	Кафе было полно людей.	26	4	Кафе было полно людей.	22
D0373	03	0729D	072AD	20		05 99 FF 9D 88 AD 8F AE 81 A7 92 AD 95 FF A3 B0 92 86 8F BF	J.B.は ほけんだいりてんに やってきた。	J.B. пришёл в страховое агентство.	26	4	J.B. пришёл в страховое | агентство.	31
D0374	03	072B2	072C2	30		D3 AE C0 95 99 F6 D9 FC D3 BF CD C1 DB F7 93 81 82 FF 85 AD 99 AE AD 85 AE 92 AE 92 81 8F	ドアには「ハート。セイフ」という かんばんがでていた	На двери вывеска Харт Сейф.	26	4	На двери вывеска Харт | Сейф.	27
D0375	03	072D1	072E1	29		89 AA 8B 93 FF 8F 85 AE 87 98 9D 88 AD 86 AD 85 FE FF 05 99 FF 8F 90 93 AE 9E B0 8F BF	ころしと たがくのほけんきんか？ J.B.は たちどまった。	Убийство и крупная страховка?J.B. задумался.	26	4	Убийство и крупная | страховка?J.B. задумался.	41
D0376	03	072EF	072FF	8		94 AD 98 A5 82 0A 85 FE	なんのようですか？	Что вам нужно?	26	4	Что вам нужно?	14
D0377	03	072FA	0730A	21		8B AE A0 8B B3 99 FF 91 87 83 93 81 8C 8F AE 88 8F AE B0 8F BF	じむしょは つくえといすだけだった。	В офисе были лишь стол и стул.	26	4	В офисе были лишь стол и | стул.	30
D0378	03	07314	07324	17		05 99 FF 84 84 86 94 DD D2 E8 98 9E 83 95 86 8F BF	J.B.は おおきなホテルのまえにきた。	J.B. подошёл к большому отелю.	26	4	J.B. подошёл к большому | отелю.	27
D0379	03	07326	07336	20		9E 93 AE 95 99 FF 8E A6 93 87 A2 85 AE 82 91 B0 92 81 8F BF	まどには そらとくもがうつっていた。	В окнах отражались небо и облака.	26	4	В окнах отражались небо и | облака.	33
D0380	03	0733B	0734B	10		05 99 DD D2 E8 AC 92 AE 8F BF	J.B.はホテルをでた。	J.B. вышел из отеля.	26	4	J.B. вышел из отеля.	17
D0381	03	07346	07356	10		88 81 8A 91 98 85 8F 0A 97 FE	けいさつのかたですね？	Вы из полиции?	26	4	Вы из полиции?	14
D0382	03	07353	07363	21		8B 8C AE 85 94 84 AD 85 AE 87 85 AE FF 94 85 AE A9 92 81 8F BF	しずかなおんがくが ながれていた。	Играла тихая музыка.	26	4	Играла тихая музыка.	20
D0383	03	0736D	0737D	8		94 AD 98 A5 82 85 97 BF	なんのようかね。	Что вам надо.	26	4	Что вам надо.	13
D0384	03	07376	07386	18		88 81 8A 91 94 AD 85 95 FF A2 82 A5 82 99 94 81 85 AE	けいさつなんかに もうようはないが	Мне с полицией больше не о чем говорить.	26	4	Мне с полицией больше не о | чем говорить.	40
D0385	03	07389	07399	16		C3 D3 AE EB FC D3 AE BF EA DA AE EC CC AE 8F AE	エドワード。ロビヲズだ	Эдвард Роббинс.	26	4	Эдвард Роббинс.	15
D0386	03	0739A	073AA	6		BA B4 8A 81 8F AE	60さいだ	60 лет.	26	4	60 лет.	7
D0387	03	073A1	073B1	23		EA DA AE EC CC AE 8B B3 82 85 81 98 FF 85 81 90 B3 82 AC 8B 92 84 A8	ロビヲズしょうかいの かいちょうをしておる	Я председатель Роббинс Компани.	26	4	Я председатель Роббинс | Компани.	31
D0388	03	073B9	073C9	9		8E AD 94 A2 98 99 8B A6 AD	そんなものはしらん	Не знаю.	26	4	Не знаю.	8
D0389	03	073C3	073D3	35		A0 8C 89 98 0B 93 FF 84 93 82 93 98 DB E9 F0 D3 AE FF 8E A9 95 FF A0 8C A1 98 C8 C1 D3 98 B7 95 AD 8F AE	むすこのビルと おとうとのフレッド それに むすめのケイトの3にんだ	Сын Билл брат Фред и дочь Кейт.	26	4	Сын Билл брат Фред и дочь | Кейт.	31
D0390	03	073E7	073F7	21		8B 89 AE 93 85 AE FF AB 8B 98 8B B2 9F 98 A5 82 94 A2 98 8F AE	しごとが わしのしゅみのようなものだ	Работа и есть моё хобби.	26	4	Работа и есть моё хобби.	24
D0391	03	073FD	0740D	14		CD CC D4 98 A1 AD 86 B3 AC A2 B0 92 81 A8	セスナのめんきょをもっている	У меня лицензия пилота.	26	4	У меня лицензия пилота.	23
D0392	03	0740C	0741C	23		AB 8B 99 89 98 9E 90 92 AE 82 9E A9 92 FF 89 89 92 AE 8E 8F AE B0 8F	わしはこのまちでうまれて ここでそだった	Я родился и вырос в этом городе.	26	4	Я родился и вырос в этом | городе.	32
D0393	03	07424	07434	24		8B B3 82 89 82 85 81 86 AE 8B B3 98 FF 8D AD A0 A7 8B AE AC 8B 92 84 A8	しょうこうかいぎしょの せんむりじをしておる	Я директор торговой палаты.	26	4	Я директор торговой | палаты.	27
D0394	03	0743D	0744D	34		0B 98 8B 89 AE 93 98 89 93 99 FF 9A 8B B3 98 CB C3 E7 FC BF DE C7 D3 AE D4 E8 D3 AE 95 86 81 92 87 A9	ビルのしごとのことは ひしょのシエリー。マクドナルドにきいてくれ	О работе Билла спросите секретаря Шелли.	26	4	О работе Билла спросите | секретаря Шелли.	40
D0395	03	07462	07472	34		9E 8F AE AB 85 81 98 8F AE 85 A6 FF 80 8F A6 8B 81 8B AE AD 8D 81 AC FF 80 A4 AD 92 AE A2 A6 81 8F 81	まだわかいのだから あたらしいじんせいを あゆんでもらいたい	Она молода.Пусть начнёт новую жизнь.	26	4	Она молода.Пусть начнёт | новую жизнь.	36
D0396	03	07485	07495	14		CB F1 D7 F0 D3 85 AE 99 AD 95 AD 94 98 85	シャネットがはんにんなのか	Джанет убийца?	26	4	Джанет убийца?	14
D0397	03	07499	074A9	38		0B 85 AE 81 94 81 FF 81 9E FF 80 93 93 A7 99 FF DB E9 F0 D3 AE 8F AE BF 8B B0 85 A7 8B 92 A2 A6 AB AD 93 89 9E A8	ビルがいない いま あととりは フレッドだ。しっかりしてもらわんとこまる	После Билла наследник Фред.Ему надо стать серьёзнее.	26	4	После Билла наследник | Фред.Ему надо стать | серьёзнее.	52
D0398	03	074C0	074D0	15		DB E9 F0 D3 AE 99 94 95 A2 A3 B0 92 94 81 BF	フレッドはなにもやってない。	Фред ничего не делал.	26	4	Фред ничего не делал.	21
D0399	03	074D0	074E0	23		81 81 A0 8C A1 8F AE BF 0B 93 A2 94 85 85 AE A5 85 B0 8F A5 82 8F AE	いいむすめだ。ビルともなかがよかったようだ	Хорошая девушка.С Биллом ладила.	26	4	Хорошая девушка.С Биллом | ладила.	32
D0400	03	074EA	074FA	18		88 81 83 81 8B B1 93 8B 92 99 FF 81 9E 9A 93 91 8F AE	けいえいしゃとしては いまひとつだ	Как руководитель слабоват?	26	4	Как руководитель слабоват?	26
D0401	03	074FD	0750D	14		80 98 84 93 89 94 A6 FF A3 A7 85 97 AD BF	あのおとこなら やりかねん。	От него можно ожидать.	26	4	От него можно ожидать.	22
D0402	03	0750C	0751C	17		91 86 80 81 85 AE 94 81 85 A6 FF A5 87 AB 85 A6 AD	つきあいがないから よくわからん	Не общаемся.Плохо знаю.	26	4	Не общаемся.Плохо знаю.	23
D0403	03	07520	07530	20		8F A5 A7 94 81 85 AE FF C8 C1 D3 95 99 A3 8A 8B 81 A6 8B 81	たよりないが ケイトにはやさしいらしい	Ненадёжен,но с Кейт добр.	26	4	Ненадёжен,но с Кейт добр.	25
D0404	03	07537	07547	23		0B 98 88 B0 89 AD 8B 86 81 A6 81 FF 99 94 8B AC 8B 8F 89 93 A2 94 81	ビルのけっこんしきいらい はなしをしたこともない	Не говорил с ним со свадьбы Билла.	26	4	Не говорил с ним со | свадьбы Билла.	34
D0405	03	07551	07561	16		91 86 80 81 85 AE 94 81 98 92 AE FF AB 85 A6 AD	つきあいがないので わからん	Не общаемся.Не знаю.	26	4	Не общаемся.Не знаю.	20
D0406	03	07564	07574	5		A5 87 8B A6 AD	よくしらん	Плохо знаю.	26	4	Плохо знаю.	11
D0407	03	0756C	0757C	26		9B A8 87 85 A6 98 A4 82 8B AE AD 92 AE FF AB 85 AE A3 98 8B B2 8B AE 81 8F AE	ふるくからのゆうじんで わがやのしゅじいだ	Старый друг и семейный врач.	26	4	Старый друг и семейный | врач.	28
D0408	03	07587	07597	16		CA C1 E2 EC 99 FF 99 AD 95 AD 92 AE 99 94 81 BF	サイモヲは はんにんではない。	Саймон не убийца.	26	4	Саймон не убийца.	17
D0409	03	07598	075A8	17		E9 EC D2 AE E8 98 93 89 AA 98 85 AD 89 AE 9B 8F AE	レヲデルのところのかんごふだ	Медсестра у Ренделла.	26	4	Медсестра у Ренделла.	21
D0410	03	075AC	075BC	32		91 9E 98 DC E9 EC 85 AE 94 87 94 B0 92 85 A6 FF 8C AE B0 93 82 90 95 81 A8 FF 85 8D 81 9B 8F AE	つまのヘレヲがなくなってから ずっとうちにいる かせいふだ	После смерти жены Хелен она у нас.Она домработница.	26	4	После смерти жены Хелен | она у нас.Она | домработница.	51
D0411	03	075CF	075DF	12		86 B3 82 99 FF A3 8C AD 92 AE 81 A8	きょうは やすんでいる	Сегодня отдыхает.	26	4	Сегодня отдыхает.	17
D0412	03	075DE	075EE	4		8B A6 AD 94	しらんな	Не знаю.	26	4	Не знаю.	8
D0413	03	075E5	075F5	10		8F AE A9 8F AE FF 8E A9 99 FE	だれだ それは？	Кто это?	26	4	Кто это?	8
D0414	03	075F2	07602	15		AB 85 81 93 86 85 A6 98 A4 82 8B AE AD 8F AE	わかいときからのゆうじんだ	Друг с юности.	26	4	Друг с юности.	14
D0415	03	07604	07614	33		8B B3 82 8D 91 85 A6 8B 81 94 BF 80 81 91 85 AE 81 A8 93 FF 9E 90 98 9B 82 86 85 AE AB A8 87 94 A8	しょうせつからしいな。あいつがいると まちのふうきがわるくなる	Он вроде писатель.Из-за него городу хуже.	26	4	Он вроде писатель.Из-за | него городу хуже.	41
D0416	03	07626	07636	19		80 81 91 94 A6 FF 8B AE 88 AD AC 84 89 8B 8E 82 8F AE BF	あいつなら じけんをおこしそうだ。	Он способен на преступление.	26	4	Он способен на | преступление.	28
D0417	03	0763A	0764A	13		8B A6 AD 94 FF 80 B0 8F 89 93 A2 94 81	しらんな あったこともない	Не знаю.Даже не встречал.	26	4	Не знаю.Даже не встречал.	25
D0418	03	07648	07658	21		99 AD 95 AD 85 AE 91 85 9E B0 8F 98 85 BF 8E A9 99 A5 85 B0 8F	はんにんがつかまったのか。それはよかった	Убийцу поймали?Хорошо.	26	4	Убийцу поймали?Хорошо.	22
D0419	03	0765E	0766E	39		80 98 A5 A8 99 FF CB AE E0 BF DE C7 DC AE C1 EC 98 93 89 AA 95 81 8F BF B5 B5 8B AE 89 AE AA 85 83 B0 92 FF 97 8F BF	あのよるは ジム。マクベイヲのところにいた。11じごろかえって ねた。	В ту ночь был у Джима Макбейна.В 11 вернулся и лёг.	26	4	В ту ночь был у Джима | Макбейна.В 11 вернулся и | лёг.	51
D0420	03	07686	07696	26		DE C7 DC AE C1 EC 98 93 89 AA 95 FF 81 8F 93 81 B0 92 84 A8 8F AE AA 82 85 AE	マクベイヲのところに いたといっておるだろうが	Я же сказал был у Макбейна.	26	4	Я же сказал был у | Макбейна.	27
D0421	03	076A1	076B1	11		8B A6 AD 94 FF 8E AD 94 A2 98 99	しらんな そんなものは	Не знаю этого.	26	4	Не знаю этого.	14
D0422	03	076AD	076BD	11		AB 8B 99 FF 94 95 A2 8B A6 AD 0D	わしは なにもしらん・・・	Я ничего не знаю...	26	4	Я ничего не знаю...	19
D0423	03	076B9	076C9	7		94 AD 98 89 93 8F AE	なんのことだ	О чём вы.	26	4	О чём вы.	9
D0424	03	076C3	076D3	18		88 81 83 81 99 FF 86 AB A1 92 80 AD 92 81 8B 92 81 A8	けいえいは きわめてあんていしている	Дела фирмы очень стабильны.	26	4	Дела фирмы очень | стабильны.	27
