id	ids	ptr	bank	cpu	len	class	reloc	reloc_reasons	incoming_f2	outgoing_f2	f2_targets	f_controls	raw	jp	jp_expanded
368	368	236A	A	A36A	19	controlled	YES		0	1	E87A	F2	64 F2 7A E8 73 94 2D 26 2E 4E 23 60 07 01 0B 7F 6C 6F FF	くろき「[F2:$E87A]に ひとをよんでも\n[F1:$02]しかたないですよ。	くろき「こんなところに ひとをよんでも\n[F1:$02]しかたないですよ。
369	369	237D	A	A37D	39	plain	YES		0	0			19 01 20 3A 05 05 78 15 1E 94 76 0F 1F 2F 0E 0B 00 13 24 6C 3F 60 14 27 00 01 50 2E 23 00 19 02 2F 55 1A 07 4E 72 FF	おかみ「ここが あのひとの とまってた へやです。\n[F1:$02]ほら かばんも おきっぱなしで……。	おかみ「ここが あのひとの とまってた へやです。\n[F1:$02]ほら かばんも おきっぱなしで……。
370	370	23A4	A	A3A4	43	plain	YES		0	0			64 13 24 75 16 41 16 73 01 0B 4D 16 0E 16 68 3F 60 2C 28 0F 00 02 0C 32 17 22 2E 1A 00 8D 60 4B 2F 0B 1E 01 23 00 07 2A 6A 70 FF	くろき「へやは いがいに かたづいています。\n[F1:$02]わりと きちょうめんな おとこ\n[F1:$02]だったのかも しれませんね。	くろき「へやは いがいに かたづいています。\n[F1:$02]わりと きちょうめんな おとこ\n[F1:$02]だったのかも しれませんね。
371	371	272D	A	A72D	10	controlled	YES		0	3	23CF,23E7,2415	F2,F2,F2	F2 CF 23 F2 E7 23 F2 15 24 FF	[F2:$23CF][F2:$23E7][F2:$2415]	くろき「ここにいた おとこについて\n[F1:$02]きかせてもらえますか？\n[F1:$0A][FE][F9]おかみ「おもえば おかしな ひと でしたわ。\n[F1:$02]いつも ひるまで ねてて ゆうがたごろ\n[F1:$02]でかける。\n[F1:$0A][FE][F9]おかみ「どっか とおくからきていたらしいけど\n[F1:$02]とうきょうに なにをしにきたのやら……。
372	372	2737	A	A737	7	controlled	YES		0	2	2436,245A	F2,F2	F2 36 24 F2 5A 24 FF	[F2:$2436][F2:$245A]	くろき「このへやにいたおとこは\n[F1:$02]どこか いなかから でてきて\n[F1:$02]そして ころされた……。\n[F1:$0A][FE][F9]くろき「ルナに もうすぐ たいきんが はいる\n[F1:$02]などと はなしていたらしいし なにか\n[F1:$02]きなくさいものを かんじますね。
373	373	2488	A	A488	32	plain	YES		0	0			64 01 50 2E 1E 1A 01 74 07 27 53 69 41 60 07 0B 42 0F 00 E3 0B 19 29 07 01 10 16 2F 0E 6A 6F FF	くろき「かばんのなかを しらべましたが\n[F1:$02]したぎと タオルしかはいってませんよ。	くろき「かばんのなかを しらべましたが\n[F1:$02]したぎと タオルしかはいってませんよ。
374	374	24A8	A	A4A8	13	plain	YES		0	0			64 01 50 2E 78 15 29 4B 04 6C 41 72 FF	くろき「かばんが あるだけですが……。	くろき「かばんが あるだけですが……。
375	375	24B5	A	A4B5	15	plain	YES		0	0			64 17 33 2E 3F 84 23 00 20 0D 01 28 6A 70 FF	くろき「うーん。なにも みつかりませんね。	くろき「うーん。なにも みつかりませんね。
376	376	24C4	A	A4C4	49	plain	YES		0	0			64 4F 17 24 27 00 05 1E E3 10 41 02 75 E4 06 27 02 2E 01 27 1E 60 0F 03 0A 03 47 32 17 85 6C 70 60 01 1D 01 18 09 35 00 0F 00 01 16 0E 7E 68 3F FF	くろき「どうやら このハガキは サラキンからの\n[F1:$02]とくそくじょうみたいですね。\n[F1:$02]かねかえせ！ と かいてあります。	くろき「どうやら このハガキは サラキンからの\n[F1:$02]とくそくじょうみたいですね。\n[F1:$02]かねかえせ！ と かいてあります。
377	377	273E	A	A73E	5	controlled	YES		0	1	24F5	F2	F2 F5 24 62 FF	[F2:$24F5]\n[F1:$0A][FE][F9]	くろき「わかりました。もっておきます。\n[F1:$0A][FE][F9]
378	378	251A	A	A51A	15	plain	YES		0	0			64 01 50 2E 75 80 00 23 2F 0E 16 68 41 72 FF	くろき「かばんは もう もっていますが……。	くろき「かばんは もう もっていますが……。
379	379	2529	A	A529	20	controlled	YES		0	1	E87A	F2	64 F2 7A E8 74 99 1B 0F 2F 0E 23 60 07 32 17 41 7E 6A 6F FF	くろき「[F2:$E87A]を しゃしんにとっても\n[F1:$02]しょうがありませんよ。	くろき「こんなところを しゃしんにとっても\n[F1:$02]しょうがありませんよ。
380	380	2747	A	A747	13	controlled	YES		0	4	253D,255F,257D,2598	F2,F2,F2,F2	F2 3D 25 F2 5F 25 F2 7D 25 F2 98 25 FF	[F2:$253D][F2:$255F][F2:$257D][F2:$2598]	くろき「あっ、そうかあ！ ハガキのおもての\n[F1:$02]あてなをみれば いいんですね。\n[F1:$0A][FE][F9]くろき「えーと……。ほっかいどう くしろし\n[F1:$02]みどりがおか……、ますだ ぶんきち。\n[F1:$0A][FE][F9]くろき「ボス！ やっと ころされた おとこの\n[F1:$02]みもとが わかりました。\n[F1:$0A][FE][F9]くろき「これで ほんかくてきな そうさが\n[F1:$02]はじめられますね。\n[F1:$02]ものがたりは これからです！\n[F1:$0A][FE][F9]
381	381	25C0	A	A5C0	29	plain	YES		0	0			64 63 00 0A 2E 1A 05 0F 2D 07 0E 16 29 60 50 15 16 47 30 00 7F 0F 00 7C 16 68 41 72 FF	くろき「ボス そんなことをしている\n[F1:$02]ばあいじゃ ないと おもいますが……。	くろき「ボス そんなことをしている\n[F1:$02]ばあいじゃ ないと おもいますが……。
382	382	25DD	A	A5DD	7	plain	YES		0	0			64 84 74 B3 68 71 FF	くろき「なにを みせますか？	くろき「なにを みせますか？
383	383	1F79	A	9F79	22	controlled	YES		1	2	ED62,ED6A	F2,F2	F2 62 ED 01 18 2F 0E 26 35 00 01 18 2F 0E 2F 0B 27 35 F2 6A ED FF	[F2:$ED62]かえってよ！ かえってったら！[F2:$ED6A]	アケミ「[F0:$81]かえってよ！ かえってったら！[F0:$82]
384	384	1E96	A	9E96	19	controlled	YES		1	2	ED62,ED6A	F2,F2	F2 62 ED 80 00 16 24 35 00 01 18 2F 0E 26 35 F2 6A ED FF	[F2:$ED62]もう いや！ かえってよ！[F2:$ED6A]	アケミ「[F0:$81]もう いや！ かえってよ！[F0:$82]
385	385	1EA9	A	9EA9	28	plain	YES		2	0			64 E3 15 04 20 0C 30 2E 0F 77 16 2F 0B 70 60 88 07 27 53 06 09 0E 23 27 17 6F 62 FF	くろき「アケミちゃんとか いったね。\n[F1:$02]ちょっと しらべさせてもらうよ。\n[F1:$0A][FE][F9]	くろき「アケミちゃんとか いったね。\n[F1:$02]ちょっと しらべさせてもらうよ。\n[F1:$0A][FE][F9]
386	386	24F5	A	A4F5	13	plain	YES		1	0			64 7D 28 69 3F 23 2F 0E 19 02 68 3F FF	くろき「わかりました。もっておきます。	くろき「わかりました。もっておきます。
387	387	2754	A	A754	8	controlled	YES		0	2	20FA,2101	F2,F2	F2 FA 20 62 F2 01 21 FF	[F2:$20FA]\n[F1:$0A][FE][F9][F2:$2101]	くろき「たかだりょかん？\n[F1:$0A][FE][F9]ルナ「[F0:$89]さあ このちかくの りょかんじゃないの？[F0:$8A]
388	388	27D6	A	A7D6	192	controlled	YES		0	10	ED77,ED7F,ED77,ED7F,ED77,ED7F,ED77,ED7F,ED77,ED7F	F2,F3,F2,F2,F2,F2,F2,F2,F2,F2,F2	F2 77 ED B4 01 27 00 16 27 07 0B 60 F3 00 04 16 52 00 93 6C 1D 36 F2 7F ED 62 F2 77 ED 1A 2E 4E 23 00 B4 4E 19 02 0B 00 06 0D 47 2E 60 47 04 2E 74 07 27 53 1B 16 27 2F 07 30 2F 0B 0F 01 3F F2 7F ED 62 F2 77 ED 2C 07 75 14 2F 01 16 4F 17 04 16 1E E3 24 1F 53 6C 3F 60 0A 2A 1B 07 0E 23 00 52 2F 0A 17 1A 00 26 1E 1A 01 1B 60 1A 28 69 1A 15 72 F2 7F ED 62 F2 77 ED 05 0C 27 4E 23 00 14 03 28 31 17 01 16 0F 00 16 17 60 B0 78 20 32 17 1A E3 17 45 02 2D B3 0E 1F 07 0E 3F F2 7F ED 62 F2 77 ED 1F 2F 00 0A 0C 27 1E 47 04 2E 0F 75 01 2E 04 16 7F 0F 60 7C 16 68 41 72 F2 7F ED 62 FF	[F2:$ED77]とうきょうから いらした\n[F1:$02][F3] けいぶ さんですね？[F2:$ED7F]\n[F1:$0A][FE][F9][F2:$ED77]なんでも とうきょうでおきた さつじん\n[F1:$02]じけんを しらべにいらっしゃったとか。[F2:$ED7F]\n[F1:$0A][FE][F9][F2:$ED77]わしは ほっかいどうけいのヤマベです。\n[F1:$02]それにしても ぶっそうな よのなかに\n[F1:$02]なりましたなあ……。[F2:$ED7F]\n[F1:$0A][FE][F9][F2:$ED77]こちらでも ほくりゅうかいと いう\n[F1:$02]やくざが みょうなウゴキをみせてまして。[F2:$ED7F]\n[F1:$0A][FE][F9][F2:$ED77]まっ そちらのじけんとは かんけいないと\n[F1:$02]おもいますが……。[F2:$ED7F]\n[F1:$0A][FE][F9]	ヤマベ「[F0:$A9]とうきょうから いらした\n[F1:$02][F3] けいぶ さんですね？[F0:$AA]\n[F1:$0A][FE][F9]ヤマベ「[F0:$A9]なんでも とうきょうでおきた さつじん\n[F1:$02]じけんを しらべにいらっしゃったとか。[F0:$AA]\n[F1:$0A][FE][F9]ヤマベ「[F0:$A9]わしは ほっかいどうけいのヤマベです。\n[F1:$02]それにしても ぶっそうな よのなかに\n[F1:$02]なりましたなあ……。[F0:$AA]\n[F1:$0A][FE][F9]ヤマベ「[F0:$A9]こちらでも ほくりゅうかいと いう\n[F1:$02]やくざが みょうなウゴキをみせてまして。[F0:$AA]\n[F1:$0A][FE][F9]ヤマベ「[F0:$A9]まっ そちらのじけんとは かんけいないと\n[F1:$02]おもいますが……。[F0:$AA]\n[F1:$0A][FE][F9]
389	389	2896	A	A896	187	controlled	YES		0	10	ED77,ED7F,ED77,ED7F,ED82,ED86,ED77,ED7F,ED82,ED86	F0,F2,F2,F2,F2,F2,F2,F2,F2,F2,F2	F0 01 09 11 A2 F2 77 ED 06 29 2C 0B 28 00 E5 07 31 2E 08 04 03 2E 00 6C 3F F2 7F ED 62 F2 77 ED 4F 17 1A 16 7A 01 2A 78 15 16 0E 24 03 2D 60 0D 0F 22 68 01 27 00 05 02 0D 01 2F 0E 24 2F 0E 60 03 4B 06 16 3F F2 7F ED 62 F2 82 ED 26 2B 07 03 00 19 1D 41 16 07 68 3F 60 0F 28 15 18 48 00 03 07 2B 07 1A 16 00 1F 4E 60 45 15 2E 7F 00 16 0B 07 6B 3F F2 86 ED 62 F2 77 ED 0F 16 17 2C 04 4E 00 2C 07 75 05 05 4E 60 07 2F 04 16 06 09 0E 23 27 16 68 41 60 47 04 2E 41 01 16 04 0D 08 29 86 00 16 1E 2F 0E 68 6F F2 7F ED 62 F2 82 ED 7A 16 02 68 01 3F 63 35 F2 86 ED 62 FF	[F0:$01,$09,$11,$A2][F2:$ED77]さるわたり シュンスケくん です。[F2:$ED7F]\n[F1:$0A][FE][F9][F2:$ED77]どうないでは かれが あいてやくを\n[F1:$02]つとめますから こきつかってやって\n[F1:$02]ください。[F2:$ED7F]\n[F1:$0A][FE][F9][F2:$ED82]よろしく おねがいします。\n[F1:$02]とりあえず くしろしない まで\n[F1:$02]ごあんない いたしましょう。[F2:$ED86]\n[F1:$0A][FE][F9][F2:$ED77]というわけで わしは ここで\n[F1:$02]しっけいさせてもらいますが\n[F1:$02]じけんがかいけつするよう いのってますよ。[F2:$ED7F]\n[F1:$0A][FE][F9][F2:$ED82]では いきますか。ボス！[F2:$ED86]\n[F1:$0A][FE][F9]	[F0:$01,$09,$11,$A2]ヤマベ「[F0:$A9]さるわたり シュンスケくん です。[F0:$AA]\n[F1:$0A][FE][F9]ヤマベ「[F0:$A9]どうないでは かれが あいてやくを\n[F1:$02]つとめますから こきつかってやって\n[F1:$02]ください。[F0:$AA]\n[F1:$0A][FE][F9]シュン「[F0:$A1]よろしく おねがいします。\n[F1:$02]とりあえず くしろしない まで\n[F1:$02]ごあんない いたしましょう。[F0:$A2]\n[F1:$0A][FE][F9]ヤマベ「[F0:$A9]というわけで わしは ここで\n[F1:$02]しっけいさせてもらいますが\n[F1:$02]じけんがかいけつするよう いのってますよ。[F0:$AA]\n[F1:$0A][FE][F9]シュン「[F0:$A1]では いきますか。ボス！[F0:$A2]\n[F1:$0A][FE][F9]
390	390	2951	A	A951	38	controlled	YES		0	2	ED82,ED86	F2,F2	F2 82 ED 03 07 2B 07 7F 73 0D 02 69 3F 60 06 15 00 4F 17 16 17 12 17 73 0A 17 06 2D 60 10 47 22 68 71 F2 86 ED FF	[F2:$ED82]くしろしないに つきました。\n[F1:$02]さあ どういうふうに そうさを\n[F1:$02]はじめますか？[F2:$ED86]	シュン「[F0:$A1]くしろしないに つきました。\n[F1:$02]さあ どういうふうに そうさを\n[F1:$02]はじめますか？[F0:$A2]
391	391	2977	A	A977	15	controlled	YES		0	2	ED82,ED86	F2,F2	F2 82 ED 03 07 2B 07 7F 00 6C 3F F2 86 ED FF	[F2:$ED82]くしろしない です。[F2:$ED86]	シュン「[F0:$A1]くしろしない です。[F0:$A2]
392	392	455D	B	855D	11	controlled	YES		0	3	ED82,E7BB,ED86	F2,F2,F2	65 F2 82 ED F2 BB E7 F2 86 ED FF	シュン「[F2:$ED82][F2:$E7BB][F2:$ED86]	シュン「シュン「[F0:$A1]ボス。まだ どこにいったらいいのか\n[F1:$02]わかりませんが……。[F0:$A2]
393	393	2986	A	A986	13	controlled	YES		0	2	ED82,ED86	F2,F2	F2 82 ED 82 73 16 02 68 71 F2 86 ED FF	[F2:$ED82]どこに いきますか？[F2:$ED86]	シュン「[F0:$A1]どこに いきますか？[F0:$A2]
394	394	4568	B	8568	12	controlled	YES		0	2	E7D0,E7D7	F2,F2	F2 D0 E7 03 07 2B 07 7F F2 D7 E7 FF	[F2:$E7D0]くしろしない[F2:$E7D7]	シュン「[F0:$A1]ここが くしろしないですが……。[F0:$A2]
395	395	4574	B	8574	8	controlled	YES		0	2	E7D0,E7D7	F2,F2	F2 D0 E7 CF F2 D7 E7 FF	[F2:$E7D0]みどりがおか[F2:$E7D7]	シュン「[F0:$A1]ここが みどりがおかですが……。[F0:$A2]
396	396	457C	B	857C	8	controlled	YES		0	2	E7D0,E7D7	F2,F2	F2 D0 E7 B8 F2 D7 E7 FF	[F2:$E7D0]あばしり[F2:$E7D7]	シュン「[F0:$A1]ここが あばしりですが……。[F0:$A2]
397	397	4584	B	8584	8	controlled	YES		0	2	E7D0,E7D7	F2,F2	F2 D0 E7 B7 F2 D7 E7 FF	[F2:$E7D0]きたはま[F2:$E7D7]	シュン「[F0:$A1]ここが きたはまですが……。[F0:$A2]
398	398	458C	B	858C	10	controlled	YES		0	2	E7D0,E7D7	F2,F2	F2 D0 E7 B8 05 17 F2 D7 E7 FF	[F2:$E7D0]あばしりこう[F2:$E7D7]	シュン「[F0:$A1]ここが あばしりこうですが……。[F0:$A2]
399	399	4596	B	8596	12	controlled	YES		0	2	E7D0,E7D7	F2,F2	F2 D0 E7 B7 76 10 1F 53 F2 D7 E7 FF	[F2:$E7D0]きたはまの はまべ[F2:$E7D7]	シュン「[F0:$A1]ここが きたはまの はまべですが……。[F0:$A2]
400	400	45A2	B	85A2	8	controlled	YES		0	2	E7D0,E7D7	F2,F2	F2 D0 E7 BA F2 D7 E7 FF	[F2:$E7D0]すすきの[F2:$E7D7]	シュン「[F0:$A1]ここが すすきのですが……。[F0:$A2]
401	401	45AA	B	85AA	8	controlled	YES		0	2	E7D0,E7D7	F2,F2	F2 D0 E7 BB F2 D7 E7 FF	[F2:$E7D0]コロポックリ[F2:$E7D7]	シュン「[F0:$A1]ここが コロポックリですが……。[F0:$A2]
402	402	45B2	B	85B2	8	controlled	YES		0	2	E7D0,E7D7	F2,F2	F2 D0 E7 BC F2 D7 E7 FF	[F2:$E7D0]ましゅうこ[F2:$E7D7]	シュン「[F0:$A1]ここが ましゅうこですが……。[F0:$A2]
403	403	2993	A	A993	54	controlled	YES		0	2	ED82,ED86	F2,F2	F2 82 ED 63 75 14 2F 01 16 4F 17 75 10 47 22 0E 6C 71 60 54 03 75 05 05 4E 17 1F 2A 0E 00 05 05 4E 0A 4B 0C 69 3F 60 1A 01 1A 77 16 16 0F 05 2B 6E 3F F2 86 ED FF	[F2:$ED82]ボスは ほっかいどうは はじめてですか？\n[F1:$02]ぼくは ここでうまれて ここでそだちました。\n[F1:$02]なかなか いいところでしょう。[F2:$ED86]	シュン「[F0:$A1]ボスは ほっかいどうは はじめてですか？\n[F1:$02]ぼくは ここでうまれて ここでそだちました。\n[F1:$02]なかなか いいところでしょう。[F0:$A2]
404	404	29C9	A	A9C9	9	controlled	YES		0	2	E82C,ED86	F2,F2	F2 2C E8 41 3F F2 86 ED FF	[F2:$E82C]が。[F2:$ED86]	シュン「[F0:$A1]とくに かわったところは ありませんが。[F0:$A2]
405	405	29D2	A	A9D2	80	controlled	YES		0	4	ED82,ED86,ED82,ED86	F2,F2,F2,F2	F2 82 ED 06 16 02 2E 00 14 03 28 31 17 01 16 0F 00 16 17 1E 41 60 01 2F 55 0D 73 17 45 16 0E 16 29 0A 17 6C 41 72 F2 86 ED 62 F2 82 ED E3 24 1F 53 52 0C 32 17 78 16 2F 0B 86 73 15 1F 28 60 02 1B 08 29 05 0F 75 7F 0F 7C 16 68 3F F2 86 ED FF	[F2:$ED82]さいきん ほくりゅうかいと いうのが\n[F1:$02]かっぱつに うごいているそうですが……。[F2:$ED86]\n[F1:$0A][FE][F9][F2:$ED82]ヤマベぶちょうが いったように あまり\n[F1:$02]きにすることは ないとおもいます。[F2:$ED86]	シュン「[F0:$A1]さいきん ほくりゅうかいと いうのが\n[F1:$02]かっぱつに うごいているそうですが……。[F0:$A2]\n[F1:$0A][FE][F9]シュン「[F0:$A1]ヤマベぶちょうが いったように あまり\n[F1:$02]きにすることは ないとおもいます。[F0:$A2]
406	406	45BA	B	85BA	16	controlled	YES		0	5	ED82,E7DE,ED82,E7F5,ED86	F2,F2,F2,F2,F2	F2 82 ED F2 DE E7 F2 82 ED F2 F5 E7 F2 86 ED FF	[F2:$ED82][F2:$E7DE][F2:$ED82][F2:$E7F5][F2:$ED86]	シュン「[F0:$A1]では あたりにいるひとに\n[F1:$02]ききこみをしてみましょう。[F0:$A2]\n[F1:$0A][FE][F9]シュン「[F0:$A1]とくに てがかりになる はなしは\n[F1:$02]きけませんでしたよ。ボス。[F0:$A2]
407	407	2A22	A	AA22	15	controlled	YES		0	2	ED82,ED86	F2,F2	F2 82 ED 4B 2A 74 07 27 53 68 71 F2 86 ED FF	[F2:$ED82]だれを しらべますか？[F2:$ED86]	シュン「[F0:$A1]だれを しらべますか？[F0:$A2]
408	408	2A31	A	AA31	29	controlled	YES		0	2	ED82,ED86	F2,F2	F2 82 ED 89 15 24 07 0A 17 1A 00 47 2E 52 0D 10 60 05 1E 8C 73 16 6A 41 3F F2 86 ED FF	[F2:$ED82]とくに あやしそうな じんぶつは\n[F1:$02]このあたりに いませんが。[F2:$ED86]	シュン「[F0:$A1]とくに あやしそうな じんぶつは\n[F1:$02]このあたりに いませんが。[F0:$A2]
409	409	2A4E	A	AA4E	26	controlled	YES		0	2	ED82,ED86	F2,F2	F2 82 ED 81 00 4B 2A 2D 06 41 07 0E 16 16 1E 01 60 7D 28 6A 41 72 F2 86 ED FF	[F2:$ED82]まだ だれをさがしていいのか\n[F1:$02]わかりませんが……。[F2:$ED86]	シュン「[F0:$A1]まだ だれをさがしていいのか\n[F1:$02]わかりませんが……。[F0:$A2]
410	410	2A68	A	AA68	23	controlled	YES		0	2	ED82,ED86	F2,F2	F2 82 ED 06 41 07 69 78 05 1E 8C 1B 10 60 16 7F 86 6C 3F F2 86 ED FF	[F2:$ED82]さがしましたが このあたりには\n[F1:$02]いないようです。[F2:$ED86]	シュン「[F0:$A1]さがしましたが このあたりには\n[F1:$02]いないようです。[F0:$A2]
411	411	45CA	B	85CA	14	controlled	YES		0	2	ED82,ED86	F2,F2	F2 82 ED 84 74 07 27 53 68 71 F2 86 ED FF	[F2:$ED82]なにを しらべますか？[F2:$ED86]	シュン「[F0:$A1]なにを しらべますか？[F0:$A2]
412	412	2A7F	A	AA7F	17	controlled	YES		0	2	ED82,ED86	F2,F2	F2 82 ED 82 74 07 27 53 6B 71 00 63 36 F2 86 ED FF	[F2:$ED82]どこを しらべましょうか？ ボス？[F2:$ED86]	シュン「[F0:$A1]どこを しらべましょうか？ ボス？[F0:$A2]
413	413	2A90	A	AA90	13	plain	YES		0	0			63 3A 17 33 21 00 05 05 4B 1A 3F 62 FF	ボス「うーむ ここだな。\n[F1:$0A][FE][F9]	ボス「うーむ ここだな。\n[F1:$0A][FE][F9]
414	414	2A9D	A	AA9D	45	controlled	YES		0	2	ED82,ED86	F2,F2	F2 82 ED 54 03 2D 07 27 53 29 0F 10 60 63 23 00 17 0B 41 16 52 01 16 00 6C 70 60 4E 23 00 13 2E 1A 23 1E 75 23 2F 0E 6A 6F F2 86 ED FF	[F2:$ED82]ぼくをしらべるとは\n[F1:$02]ボスも うたがいぶかい ですね。\n[F1:$02]でも へんなものは もってませんよ。[F2:$ED86]	シュン「[F0:$A1]ぼくをしらべるとは\n[F1:$02]ボスも うたがいぶかい ですね。\n[F1:$02]でも へんなものは もってませんよ。[F0:$A2]
415	415	2ACA	A	AACA	25	controlled	YES		0	2	ED82,ED86	F2,F2	F2 82 ED 07 27 53 0E 20 69 78 60 84 23 00 20 0D 01 28 6A 6D 3F F2 86 ED FF	[F2:$ED82]しらべてみましたが \n[F1:$02]なにも みつかりませんでした。[F2:$ED86]	シュン「[F0:$A1]しらべてみましたが \n[F1:$02]なにも みつかりませんでした。[F0:$A2]
416	416	2AE3	A	AAE3	22	controlled	YES		0	2	ED82,ED86	F2,F2	F2 82 ED 89 8A 0F 05 2B 75 7F 86 1B 60 7C 18 68 41 72 F2 86 ED FF	[F2:$ED82]とくに かわったところは ないように\n[F1:$02]おもえますが……。[F2:$ED86]	シュン「[F0:$A1]とくに かわったところは ないように\n[F1:$02]おもえますが……。[F0:$A2]
417	417	2AF9	A	AAF9	23	controlled	YES		0	3	ED82,E83E,ED86	F2,F2,F2	F2 82 ED 05 05 1B 75 0F 29 F2 3E E8 10 60 20 8C 6A 41 72 F2 86 ED FF	[F2:$ED82]ここには とる[F2:$E83E]は\n[F1:$02]みあたりませんが……。[F2:$ED86]	シュン「[F0:$A1]ここには とるようなものは\n[F1:$02]みあたりませんが……。[F0:$A2]
418	418	2B10	A	AB10	31	controlled	YES		0	2	ED82,ED86	F2,F2	F2 82 ED 05 05 4E 99 2D 0F 2F 0E 23 60 07 01 0B 1A 16 0F 00 19 23 16 1F 08 26 3F F2 86 ED FF	[F2:$ED82]ここでしゃしんをとっても\n[F1:$02]しかたないと おもいますよ。[F2:$ED86]	シュン「[F0:$A1]ここでしゃしんをとっても\n[F1:$02]しかたないと おもいますよ。[F0:$A2]
419	419	2B2F	A	AB2F	22	controlled	YES		0	2	ED82,ED86	F2,F2	F2 82 ED 05 2A 78 23 0C 23 1E 6C 3F 60 83 74 20 68 71 F2 86 ED FF	[F2:$ED82]これが もちものです。\n[F1:$02]どれを みますか？[F2:$ED86]	シュン「[F0:$A1]これが もちものです。\n[F1:$02]どれを みますか？[F0:$A2]
420	420	2B45	A	AB45	29	controlled	YES		1	2	ED82,ED86	F2,F2	F2 82 ED 03 07 2B 07 00 CF 60 A4 00 52 2E 02 0C 00 0F 00 01 16 0E 7E 68 3F F2 86 ED FF	[F2:$ED82]くしろし みどりがおか\n[F1:$02]ますだ ぶんきち と かいてあります。[F2:$ED86]	シュン「[F0:$A1]くしろし みどりがおか\n[F1:$02]ますだ ぶんきち と かいてあります。[F0:$A2]
421	421	2B62	A	AB62	42	controlled	YES		0	3	2B45,ED82,ED86	F2,F2,F2	F2 45 2B 62 F2 82 ED 1A 29 14 4F 00 05 2A 78 05 2B 06 2A 0B 0F 16 17 60 8D 76 25 16 16 0D 76 0E 41 01 28 6C 01 72 F2 86 ED FF	[F2:$2B45]\n[F1:$0A][FE][F9][F2:$ED82]なるほど これが ころされたという\n[F1:$02]おとこの ゆいいつの てがかりですか……。[F2:$ED86]	シュン「[F0:$A1]くしろし みどりがおか\n[F1:$02]ますだ ぶんきち と かいてあります。[F0:$A2]\n[F1:$0A][FE][F9]シュン「[F0:$A1]なるほど これが ころされたという\n[F1:$02]おとこの ゆいいつの てがかりですか……。[F0:$A2]
422	422	2B8C	A	AB8C	40	controlled	YES		0	2	ED82,ED86	F2,F2	F2 82 ED 84 74 B3 29 0D 23 28 01 75 07 28 6A 41 60 05 05 1B 75 B3 29 53 02 00 15 16 0E 41 60 16 7F 86 6C 3F F2 86 ED FF	[F2:$ED82]なにを みせるつもりかは しりませんが\n[F1:$02]ここには みせるべき あいてが\n[F1:$02]いないようです。[F2:$ED86]	シュン「[F0:$A1]なにを みせるつもりかは しりませんが\n[F1:$02]ここには みせるべき あいてが\n[F1:$02]いないようです。[F0:$A2]
423	423	2BB4	A	ABB4	27	controlled	YES		0	4	ED82,E8A9,ED82,ED86	F2,F2,F2,F2	F2 82 ED F2 A9 E8 F2 82 ED 63 3F 4B 2A 23 00 02 0E 03 2A 6A 6D 41 3F F2 86 ED FF	[F2:$ED82][F2:$E8A9][F2:$ED82]ボス。だれも きてくれませんでしたが。[F2:$ED86]	シュン「[F0:$A1]だれかあ。だれかあ いませんかあ[GLYPH:$38][F0:$A2]\n[F1:$0A][FE][F9]シュン「[F0:$A1]ボス。だれも きてくれませんでしたが。[F0:$A2]
424	424	2BCF	A	ABCF	10	controlled	YES		0	2	E96C,EC7C	F2,F2	F2 6C E9 B8 1B 60 F2 7C EC FF	[F2:$E96C]あばしりに\n[F1:$02][F2:$EC7C]	シュン「さあ そうさを ぞっこうしましょう！\n[F1:$0A][FE][F9]シュン「ところで ボス。\n[F1:$02]ぼくは おもうんですがね……。\n[F1:$0A][FE][F9]シュン「もういちど あばしりに\n[F1:$02]いってみてはどうでしょうか？\n[F1:$0A][FE][F9]
425	425	2BD9	A	ABD9	28	plain	YES		0	0			65 05 1E 8C 78 CF 6C 41 72 60 19 24 00 A4 0F 16 17 00 94 76 17 0C 41 60 7E 69 3F FF	シュン「このあたりが みどりがおかですが……。\n[F1:$02]おや ますだという ひとの うちが\n[F1:$02]ありました。	シュン「このあたりが みどりがおかですが……。\n[F1:$02]おや ますだという ひとの うちが\n[F1:$02]ありました。
426	426	2BF5	A	ABF5	10	plain	YES		0	0			65 CF 76 A4 1E 16 18 6C 3F FF	シュン「みどりがおかの ますだのいえです。	シュン「みどりがおかの ますだのいえです。
427	427	2BFF	A	ABFF	30	plain	YES		0	0			65 09 2E 0B 03 07 0E 16 29 00 19 50 93 78 16 68 3F 60 05 1E 94 78 A4 76 19 03 93 6E 71 FF	シュン「せんたくしている おばさんが います。\n[F1:$02]このひとが ますだの おくさんでしょうか？	シュン「せんたくしている おばさんが います。\n[F1:$02]このひとが ますだの おくさんでしょうか？
428	428	2C1D	A	AC1D	21	plain	YES		0	0			65 05 2A 0F 16 2F 0E 00 22 1B 0D 03 23 1E 10 60 7E 6A 41 72 FF	シュン「これといって めにつくものは\n[F1:$02]ありませんが……。	シュン「これといって めにつくものは\n[F1:$02]ありませんが……。
429	429	2C32	A	AC32	25	plain	YES		0	0			65 A4 76 19 03 93 78 15 16 01 2C 27 48 60 09 2E 0B 03 2D 07 0E 16 68 3F FF	シュン「ますだの おくさんが あいかわらず\n[F1:$02]せんたくをしています。	シュン「ますだの おくさんが あいかわらず\n[F1:$02]せんたくをしています。
