ptr	len	raw	decoded	expanded
4D11	24	F2 DA ED 7E 41 0F 17 45 46 16 68 3F D1 D0 D0 18 2E 6C 3F F2 E1 ED 62 FF	[F2:$EDDA]ありがとうございます。[GLYPH:$D1][GLYPH:$D0][GLYPH:$D0]えんです。[F2:$EDE1]\n[F1:$0A][FE][F9]	おばさん「[F0:$81]ありがとうございます。[GLYPH:$D1][GLYPH:$D0][GLYPH:$D0]えんです。[F0:$82]\n[F1:$0A][FE][F9]
5539	15	1F 16 22 60 6C 6F 63 23 00 8A 00 94 6C 70 FF	まいめ\n[F1:$02]ですよ。ボスも かわった ひとですね。	まいめ\n[F1:$02]ですよ。ボスも かわった ひとですね。
7FA1	7	E5 1D 43 28 47 25 FF	ネグリジユ	ネグリジユ
9E15	87	F2 4F E9 19 50 93 3A 0B 07 01 1B 0A 2A 75 17 0C 4E 17 2F 0B 23 1E 6C 3F 60 1A 16 0E 16 29 86 73 20 18 29 6E 36 62 19 50 93 3A 4F 17 16 17 2C 04 77 94 45 2B 07 76 02 47 41 60 07 2E 52 2E 73 1E 2F 0B 00 0D 42 1E 11 00 02 1F 2F 0E 60 0A 2A 78 1F 47 29 2E 6C 6F FF	[F2:$E94F]おばさん「たしかにそれは うちでうったものです。\n[F1:$02]ないているように みえるでしょう？\n[F1:$0A][FE][F9]おばさん「どういうわけか ひとごろしの きじが\n[F1:$02]しんぶんに のった つぎのひ きまって\n[F1:$02]それが まじるんですよ。	シュン「[F0:$A1]ちょっと これをみてくれますか？[F0:$A2]\n[F1:$0A][FE][F9]おばさん「たしかにそれは うちでうったものです。\n[F1:$02]ないているように みえるでしょう？\n[F1:$0A][FE][F9]おばさん「どういうわけか ひとごろしの きじが\n[F1:$02]しんぶんに のった つぎのひ きまって\n[F1:$02]それが まじるんですよ。
E7BB	21	63 3F 81 00 82 1B 16 2F 0B 27 16 16 1E 01 60 7D 28 6A 41 72 FF	ボス。まだ どこにいったらいいのか\n[F1:$02]わかりませんが……。	ボス。まだ どこにいったらいいのか\n[F1:$02]わかりませんが……。
E7D0	7	F2 82 ED 05 05 78 FF	[F2:$ED82]ここが 	シュン「[F0:$A1]ここが 
E7D7	7	6C 41 72 F2 86 ED FF	ですが……。[F2:$ED86]	ですが……。[F0:$A2]
E7DE	23	7A 8C 1B 16 29 94 1B 60 02 02 05 20 2D 07 0E 20 6B 3F F2 86 ED 62 FF	では あたりにいるひとに\n[F1:$02]ききこみをしてみましょう。[F2:$ED86]\n[F1:$0A][FE][F9]	では あたりにいるひとに\n[F1:$02]ききこみをしてみましょう。[F0:$A2]\n[F1:$0A][FE][F9]
E7F5	20	89 0E 41 01 28 1B 1A 29 00 97 10 60 02 04 6A 6D 6F 63 3F FF	とくに てがかりになる はなしは\n[F1:$02]きけませんでしたよ。ボス。	とくに てがかりになる はなしは\n[F1:$02]きけませんでしたよ。ボス。
E809	3	65 88 FF	シュン「ちょっと 	シュン「ちょっと 
E80C	13	2D 60 02 01 09 0E 23 27 18 68 71 62 FF	を\n[F1:$02]きかせてもらえますか？\n[F1:$0A][FE][F9]	を\n[F1:$02]きかせてもらえますか？\n[F1:$0A][FE][F9]
E819	8	1A 2E 6C 77 05 2A 36 FF	なんですか これ？	なんですか これ？
E821	11	4B 2A 6C 00 05 2A 36 F2 DB DA FF	だれです これ？[F2:$DADB]	だれです これ？\n[F1:$0A][FE][F9][F5:$11,$03]
E82C	12	F2 82 ED 89 8A 0F 05 2B 75 7E 6A FF	[F2:$ED82]とくに かわったところは ありません	シュン「[F0:$A1]とくに かわったところは ありません
E838	6	16 17 1E 6C 71 FF	いうのですか？	いうのですか？
E83E	5	86 1A 23 1E FF	ようなもの	ようなもの
E843	6	50 2E 0F 17 3A FF	ばんとう「	ばんとう「
E865	21	4E 23 00 89 15 24 07 16 47 2E 52 0D 1B 10 60 20 18 6A 41 72 FF	でも とくに あやしいじんぶつには\n[F1:$02]みえませんが……。	でも とくに あやしいじんぶつには\n[F1:$02]みえませんが……。
E87A	7	05 2E 1A 0F 05 2B FF	こんなところ	こんなところ
E881	12	15 2A 3F 97 0C 31 17 00 85 6C 70 FF	あれ。はなしちゅう みたいですね。	あれ。はなしちゅう みたいですね。
E88D	6	16 2F 0B 16 00 FF	いったい 	いったい 
E893	22	A4 36 00 16 18 00 0A 1E 1A 1F 18 1B 60 05 05 2B 8C 75 7E 6A 3F FF	ますだ？ いえ そのなまえに\n[F1:$02]こころあたりは ありません。	ますだ？ いえ そのなまえに\n[F1:$02]こころあたりは ありません。
E8A9	20	4B 2A 01 15 3F 4B 2A 01 15 00 16 6A 01 15 38 F2 86 ED 62 FF	だれかあ。だれかあ いませんかあ[GLYPH:$38][F2:$ED86]\n[F1:$0A][FE][F9]	だれかあ。だれかあ いませんかあ[GLYPH:$38][F0:$A2]\n[F1:$0A][FE][F9]
E8BD	16	80 00 05 1E 94 1E 99 10 60 0F 2F 0E 7E 68 3F FF	もう このひとのしゃしんは\n[F1:$02]とってあります。	もう このひとのしゃしんは\n[F1:$02]とってあります。
E8CD	9	05 2A 78 0A 17 6C 41 72 FF	これが そうですが……。	これが そうですが……。
E8D6	12	90 3A 10 16 00 D1 D1 D0 6C 35 00 FF	けいさつ「はい [GLYPH:$D1][GLYPH:$D1][GLYPH:$D0]です！ 	けいさつ「はい [GLYPH:$D1][GLYPH:$D1][GLYPH:$D0]です！ 
E8E2	45	62 90 3A 15 15 00 0A 1E 47 04 2E 6D 27 00 80 00 90 41 3F 60 7B 84 36 00 15 1A 0B 78 0A 1E 8F 36 60 12 46 04 7F 4E 03 4B 06 16 26 35 FF	\n[F1:$0A][FE][F9]けいさつ「ああ そのじけんでしたら もう けいさつが。\n[F1:$02]え？ なに？ あなたが そのけいじ？\n[F1:$02]ふざけないでくださいよ！	\n[F1:$0A][FE][F9]けいさつ「ああ そのじけんでしたら もう けいさつが。\n[F1:$02]え？ なに？ あなたが そのけいじ？\n[F1:$02]ふざけないでくださいよ！
E90F	29	F2 4F E9 F2 16 EE 8F 93 3F 60 0A 2E 1A 23 76 B3 0E 23 00 21 4B 47 30 26 3F F2 1B EE FF	[F2:$E94F][F2:$EE16]けいじさん。\n[F1:$02]そんなもの みせても むだじゃよ。[F2:$EE1B]	シュン「[F0:$A1]ちょっと これをみてくれますか？[F0:$A2]\n[F1:$0A][FE][F9]うらた「[F0:$81]けいじさん。\n[F1:$02]そんなもの みせても むだじゃよ。[F0:$82]
E92C	22	F2 4F E9 F2 16 EE 8F 93 00 80 00 01 18 2F 0E 03 2A 3F F2 1B EE FF	[F2:$E94F][F2:$EE16]けいじさん もう かえってくれ。[F2:$EE1B]	シュン「[F0:$A1]ちょっと これをみてくれますか？[F0:$A2]\n[F1:$0A][FE][F9]うらた「[F0:$81]けいじさん もう かえってくれ。[F0:$82]
E942	13	64 88 05 2A 74 20 0E 03 2A 68 71 62 FF	くろき「ちょっと これを みてくれますか？\n[F1:$0A][FE][F9]	くろき「ちょっと これを みてくれますか？\n[F1:$0A][FE][F9]
E94F	18	F2 82 ED 88 05 2A 2D 20 0E 03 2A 68 71 F2 86 ED 62 FF	[F2:$ED82]ちょっと これをみてくれますか？[F2:$ED86]\n[F1:$0A][FE][F9]	シュン「[F0:$A1]ちょっと これをみてくれますか？[F0:$A2]\n[F1:$0A][FE][F9]
E961	11	15 27 00 99 75 01 2E 53 2E 70 FF	あら しゃしんは かんべんね。	あら しゃしんは かんべんね。
E96C	11	F2 64 EC 65 23 17 16 0C 4F 00 FF	[F2:$EC64]シュン「もういちど 	シュン「さあ そうさを ぞっこうしましょう！\n[F1:$0A][FE][F9]シュン「ところで ボス。\n[F1:$02]ぼくは おもうんですがね……。\n[F1:$0A][FE][F9]シュン「もういちど 
E977	9	A4 00 0B 18 00 4B 41 3F FF	ますだ たえ だが。	ますだ たえ だが。
E980	5	65 F2 2D 1B FF	シュン「[F2:$1B2D]	シュン「ここには とるようなものは\n[F1:$02]みあたりませんが……。
E985	48	17 33 2E 3F 20 0B 05 0F 78 15 29 86 1A 02 23 07 68 78 60 0A 2A 78 82 4E 00 16 0D 4B 2F 0B 01 1F 4E 10 72 60 4F 17 23 00 08 16 6A 3F F2 DB DA FF	うーん。みたことが あるようなきもしますが \n[F1:$02]それが どこで いつだったかまでは……。\n[F1:$02]どうも すいません。[F2:$DADB]	うーん。みたことが あるようなきもしますが \n[F1:$02]それが どこで いつだったかまでは……。\n[F1:$02]どうも すいません。\n[F1:$0A][FE][F9][F5:$11,$03]
E9B5	32	1A 01 1A 77 01 2F 57 03 1E 16 16 00 94 00 6C 70 60 16 18 00 05 05 2B 8C 78 7E 6A 3F F2 DB DA FF	なかなか かっぷくのいい ひと ですね。\n[F1:$02]いえ こころあたりが ありません。[F2:$DADB]	なかなか かっぷくのいい ひと ですね。\n[F1:$02]いえ こころあたりが ありません。\n[F1:$0A][FE][F9][F5:$11,$03]
E9D5	27	8F 93 00 16 1F 06 27 00 0A 2E 1A 23 1E 74 B3 0E 60 1A 2E 76 19 0D 23 28 6C 71 FF	けいじさん いまさら そんなものを みせて\n[F1:$02]なんの おつもりですか？	けいじさん いまさら そんなものを みせて\n[F1:$02]なんの おつもりですか？
E9F0	6	65 BC 00 6C 3F FF	シュン「ましゅうこ です。	シュン「ましゅうこ です。
E9F6	48	3D 3D 36 60 0A 2E 1A 00 1A 1F 18 1E 94 00 07 27 7F 2C 3F 60 AB 75 07 2F 0E 29 36 F2 B3 ED 62 F2 B6 ED 72 16 16 18 00 07 27 7F 2C 3F F2 BB ED FF	……？\n[F1:$02]そんな なまえのひと しらないわ。\n[F1:$02]まきこは しってる？[F2:$EDB3]\n[F1:$0A][FE][F9][F2:$EDB6]……。いいえ しらないわ。[F2:$EDBB]	……？\n[F1:$02]そんな なまえのひと しらないわ。\n[F1:$02]まきこは しってる？[F0:$B2]\n[F1:$0A][FE][F9][FC:$5C][F0:$A9]……。いいえ しらないわ。[F0:$AA]
EA26	14	65 F2 7A E8 73 4B 2A 74 26 52 2E 6C 71 FF	シュン「[F2:$E87A]に だれを よぶんですか？	シュン「こんなところに だれを よぶんですか？
EA34	9	99 24 3A F0 09 11 19 80 FF	しゃしんや「[F0:$09,$11,$19,$80]	しゃしんや「[F0:$09,$11,$19,$80]
EA37	6	F0 09 11 19 80 FF	[F0:$09,$11,$19,$80]	[F0:$09,$11,$19,$80]
EA3D	28	F2 34 EA 18 00 88 E4 27 16 0B 33 2D 60 01 07 0E 03 2A 2F 0E 36 00 16 16 6C 6F 62 FF	[F2:$EA34]え ちょっと ライターを\n[F1:$02]かしてくれって？ いいですよ。\n[F1:$0A][FE][F9]	しゃしんや「[F0:$09,$11,$19,$80]え ちょっと ライターを\n[F1:$02]かしてくれって？ いいですよ。\n[F1:$0A][FE][F9]
EA59	29	65 20 48 17 20 76 0C 31 17 19 17 73 E6 01 21 16 2F 07 31 1E 60 07 1F 78 20 18 68 3F FF	シュン「みずうみの ちゅうおうに カムイッシュの\n[F1:$02]しまが みえます。	シュン「みずうみの ちゅうおうに カムイッシュの\n[F1:$02]しまが みえます。
EA76	38	F2 EF ED 15 2F 00 0A 17 4B 3F 04 06 00 99 24 41 02 0E 60 0A 1E 94 76 99 74 19 16 0E 16 2F 0B 2E 6C 3F F2 F5 ED FF	[F2:$EDEF]あっ そうだ。けさ しゃしんやがきて\n[F1:$02]そのひとの しゃしんを おいていったんです。[F2:$EDF5]	ばんとう「[F0:$81]あっ そうだ。けさ しゃしんやがきて\n[F1:$02]そのひとの しゃしんを おいていったんです。[F0:$82]
EA9C	22	F2 82 ED 05 1E 8C 1B 75 2C 2A 2C 2A 07 77 16 6A 41 3F F2 86 ED FF	[F2:$ED82]このあたりには われわれしか いませんが。[F2:$ED86]	シュン「[F0:$A1]このあたりには われわれしか いませんが。[F0:$A2]
EAB2	24	65 94 75 16 1A 03 0E 00 8C 10 60 07 48 1F 28 01 18 2F 0E 00 16 68 3F FF	シュン「ひとは いなくて あたりは\n[F1:$02]しずまりかえって います。	シュン「ひとは いなくて あたりは\n[F1:$02]しずまりかえって います。
EACA	21	65 63 3F 80 00 82 77 14 01 1E 60 0F 05 2B 13 00 16 02 6B 6F FF	シュン「ボス。もう どこか ほかの\n[F1:$02]ところへ いきましょうよ。	シュン「ボス。もう どこか ほかの\n[F1:$02]ところへ いきましょうよ。
EADF	34	65 20 48 17 20 76 0C 31 17 19 17 73 A0 1E 60 07 1F 78 20 18 68 41 3E 89 8A 60 0F 05 2B 75 7E 6A 3F FF	シュン「みずうみの ちゅうおうに カムイッシュの\n[F1:$02]しまが みえますが、とくに かわった\n[F1:$02]ところは ありません。	シュン「みずうみの ちゅうおうに カムイッシュの\n[F1:$02]しまが みえますが、とくに かわった\n[F1:$02]ところは ありません。
EB01	189	62 65 18 33 0F 3E 16 0C 50 2E 00 17 18 76 11 02 4B 07 00 1B 10 60 E4 10 2E 01 0C 0F 77 03 0D 07 0B 78 10 16 2F 0E 16 68 3F 62 65 0A 1E 07 0B 76 11 02 4B 07 1B 10 3D 3D E4 52 27 17 08 0F 01 60 E4 09 33 0B 33 1A 2E 01 78 10 16 2F 0E 16 68 3F 62 65 0A 1E 07 0B 76 11 02 4B 07 1B 75 E4 55 2E 0E 3D 3D 16 24 3E 60 18 33 0F 3E 07 0B 42 29 16 00 78 10 16 2F 0E 16 68 3F 62 65 0A 1E 07 0B 76 11 02 4B 07 1B 10 3D 3D E2 52 27 3D 3D 60 16 24 0A 1E 3E 24 2F 55 28 07 0B 42 78 10 16 2F 0E 16 68 3F 62 65 04 2F 02 32 03 00 89 15 24 07 16 00 23 1E 10 60 10 16 2F 0E 16 6A 6D 3F FF	\n[F1:$0A][FE][F9]シュン「えーと、いちばん うえの ひきだし には\n[F1:$02]ハンカチとか くつしたが はいっています。\n[F1:$0A][FE][F9]シュン「そのしたの ひきだしには……ブラウスとか\n[F1:$02]セーターなんかが はいっています。\n[F1:$0A][FE][F9]シュン「そのしたの ひきだしには パンテ……いや、\n[F1:$02]えーと、したぎるい が はいっています。\n[F1:$0A][FE][F9]シュン「そのしたの ひきだしには……ブラ……\n[F1:$02]いやその、やっぱりしたぎが はいっています。\n[F1:$0A][FE][F9]シュン「けっきょく とくに あやしい ものは\n[F1:$02]はいっていませんでした。	\n[F1:$0A][FE][F9]シュン「えーと、いちばん うえの ひきだし には\n[F1:$02]ハンカチとか くつしたが はいっています。\n[F1:$0A][FE][F9]シュン「そのしたの ひきだしには……ブラウスとか\n[F1:$02]セーターなんかが はいっています。\n[F1:$0A][FE][F9]シュン「そのしたの ひきだしには パンテ……いや、\n[F1:$02]えーと、したぎるい が はいっています。\n[F1:$0A][FE][F9]シュン「そのしたの ひきだしには……ブラ……\n[F1:$02]いやその、やっぱりしたぎが はいっています。\n[F1:$0A][FE][F9]シュン「けっきょく とくに あやしい ものは\n[F1:$02]はいっていませんでした。
EBBE	20	06 15 00 0A 17 16 17 00 1A 1F 18 76 94 10 60 07 27 7F 70 FF	さあ そういう なまえの ひとは\n[F1:$02]しらないね。	さあ そういう なまえの ひとは\n[F1:$02]しらないね。
EBD2	18	F2 DA ED 05 2A 78 4F 17 01 07 0B 4B 01 36 F2 E1 ED FF	[F2:$EDDA]これが どうかしただか？[F2:$EDE1]	おばさん「[F0:$81]これが どうかしただか？[F0:$82]
EBE4	58	F2 5A ED 17 33 21 3F 05 05 27 4E 00 16 0C 50 2E 00 19 19 02 1A 60 E2 47 05 10 72 07 32 17 2C D2 D4 1D 2E 76 18 16 12 03 1F 29 60 0C 2E 54 0D 6E 3F 18 33 0F 72 F2 5F ED 62 FF	[F2:$ED5A]うーむ。ここらで いちばん おおきな\n[F1:$02]ジコは……。しょうわ[GLYPH:$D2][GLYPH:$D4]ねんの えいふくまる\n[F1:$02]ちんぼつでしょう。えーと……。[F2:$ED5F]\n[F1:$0A][FE][F9]	おとこ「[F0:$81]うーむ。ここらで いちばん おおきな\n[F1:$02]ジコは……。しょうわ[GLYPH:$D2][GLYPH:$D4]ねんの えいふくまる\n[F1:$02]ちんぼつでしょう。えーと……。[F0:$82]\n[F1:$0A][FE][F9]
EC1E	8	1A 2E 6C 77 0A 2A 36 FF	なんですか それ？	なんですか それ？
EC26	17	F2 0C EE 0A 2A 78 4F 17 01 07 0B 4B 71 F2 13 EE FF	[F2:$EE0C]それが どうかしただか？[F2:$EE13]	おばば「[F0:$81]それが どうかしただか？[F0:$82]
EC37	18	1F 16 00 6C 70 60 7A 54 03 01 27 00 11 02 68 3F 62 FF	まい ですね。\n[F1:$02]では ぼくから ひきます。\n[F1:$0A][FE][F9]	まい ですね。\n[F1:$02]では ぼくから ひきます。\n[F1:$0A][FE][F9]
EC49	10	65 54 03 75 FD 00 6C 3F 62 FF	シュン「ぼくは [FD:$00]です。\n[F1:$0A][FE][F9]	シュン「ぼくは [FD:$00]です。\n[F1:$0A][FE][F9]
EC53	17	65 06 15 00 0A 17 06 74 4A 2F 05 17 07 6B 35 62 FF	シュン「さあ そうさを ぞっこうしましょう！\n[F1:$0A][FE][F9]	シュン「さあ そうさを ぞっこうしましょう！\n[F1:$0A][FE][F9]
EC64	24	F2 53 EC 65 0F 05 2B 4E 00 63 3F 60 54 03 75 7C 17 2E 6C 41 1D 72 62 FF	[F2:$EC53]シュン「ところで ボス。\n[F1:$02]ぼくは おもうんですがね……。\n[F1:$0A][FE][F9]	シュン「さあ そうさを ぞっこうしましょう！\n[F1:$0A][FE][F9]シュン「ところで ボス。\n[F1:$02]ぼくは おもうんですがね……。\n[F1:$0A][FE][F9]
EC7C	12	16 2F 0E 20 0E 10 4F 17 6E 71 62 FF	いってみてはどうでしょうか？\n[F1:$0A][FE][F9]	いってみてはどうでしょうか？\n[F1:$0A][FE][F9]
EC88	20	63 3F 07 27 53 86 0F 07 69 41 60 0E 78 0F 4F 02 6A 6D 3F FF	ボス。しらべようとしましたが\n[F1:$02]てが とどきませんでした。	ボス。しらべようとしましたが\n[F1:$02]てが とどきませんでした。
EC9C	17	63 3F 07 27 53 29 1B 10 60 88 0F 19 08 42 68 6F FF	ボス。しらべるには\n[F1:$02]ちょっと とおすぎますよ。	ボス。しらべるには\n[F1:$02]ちょっと とおすぎますよ。
ECAD	36	7B 15 2E 1A 0F 05 2B 2D 60 07 27 53 2B 2F 0E 16 17 2E 6C 71 60 63 23 00 22 0C 30 03 0C 30 00 16 16 68 70 FF	え？ あんなところを\n[F1:$02]しらべろっていうんですか？\n[F1:$02]ボスも めちゃくちゃ いいますね。	え？ あんなところを\n[F1:$02]しらべろっていうんですか？\n[F1:$02]ボスも めちゃくちゃ いいますね。
ECD1	15	F2 82 ED 7A 88 20 0E 02 68 3F F2 86 ED 62 FF	[F2:$ED82]では ちょっと みてきます。[F2:$ED86]\n[F1:$0A][FE][F9]	シュン「[F0:$A1]では ちょっと みてきます。[F0:$A2]\n[F1:$0A][FE][F9]
ECE0	16	65 2C 15 35 00 16 16 1E 41 02 0B 1A 15 3F 62 FF	シュン「わあ！ いいのがきたなあ。\n[F1:$0A][FE][F9]	シュン「わあ！ いいのがきたなあ。\n[F1:$0A][FE][F9]
ECF0	15	65 17 33 2E 3E 4F 17 07 86 01 1A 15 3F 62 FF	シュン「うーん、どうしようかなあ。\n[F1:$0A][FE][F9]	シュン「うーん、どうしようかなあ。\n[F1:$0A][FE][F9]
ECFF	17	65 17 2C 2F 35 00 1F 16 2F 0C 30 2F 0B 1A 3F 62 FF	シュン「うわっ！ まいっちゃったな。\n[F1:$0A][FE][F9]	シュン「うわっ！ まいっちゃったな。\n[F1:$0A][FE][F9]
ED10	10	65 05 2A 4E 16 16 24 3F 62 FF	シュン「これでいいや。\n[F1:$0A][FE][F9]	シュン「これでいいや。\n[F1:$0A][FE][F9]
ED1A	13	65 18 33 16 3E 80 16 0C 1F 16 35 62 FF	シュン「えーい、もういちまい！\n[F1:$0A][FE][F9]	シュン「えーい、もういちまい！\n[F1:$0A][FE][F9]
ED27	13	65 05 28 30 15 00 01 2F 0B 1A 3F 62 FF	シュン「こりゃあ かったな。\n[F1:$0A][FE][F9]	シュン「こりゃあ かったな。\n[F1:$0A][FE][F9]
ED34	15	65 24 2F 0B 3F 50 2F 0C 28 4B 49 2F 35 62 FF	シュン「やった。ばっちりだぜっ！\n[F1:$0A][FE][F9]	シュン「やった。ばっちりだぜっ！\n[F1:$0A][FE][F9]
ED43	11	66 3D 3D 3D 3D 3D 3D 3D 3D 72 FF	＊「…………………………。	＊「…………………………。
ED4E	12	15 2A 36 00 02 2A 0C 30 16 69 3F FF	あれ？ きれちゃいました。	あれ？ きれちゃいました。
ED5A	5	8D 3A F0 81 FF	おとこ「[F0:$81]	おとこ「[F0:$81]
ED5F	3	F0 82 FF	[F0:$82]	[F0:$82]
ED62	8	E3 15 04 20 3A F0 81 FF	アケミ「[F0:$81]	アケミ「[F0:$81]
ED6A	3	F0 82 FF	[F0:$82]	[F0:$82]
ED6D	7	E2 29 1A 3A F0 89 FF	ルナ「[F0:$89]	ルナ「[F0:$89]
ED74	3	F0 8A FF	[F0:$8A]	[F0:$8A]
ED77	8	E3 24 1F 53 3A F0 A9 FF	ヤマベ「[F0:$A9]	ヤマベ「[F0:$A9]
ED7F	3	F0 AA FF	[F0:$AA]	[F0:$AA]
ED82	4	65 F0 A1 FF	シュン「[F0:$A1]	シュン「[F0:$A1]
ED86	3	F0 A2 FF	[F0:$A2]	[F0:$A2]
ED89	6	FC 4E F0 00 89 FF	[FC:$4E][F0:$00,$89]	[FC:$4E][F0:$00,$89]
ED8F	4	F0 08 81 FF	[F0:$08,$81]	[F0:$08,$81]
ED93	8	18 02 16 2E 3A F0 81 FF	えきいん「[F0:$81]	えきいん「[F0:$81]
ED9B	3	F0 82 FF	[F0:$82]	[F0:$82]
ED9E	5	A6 3A F0 81 FF	しんじ「[F0:$81]	しんじ「[F0:$81]
EDA3	3	F0 82 FF	[F0:$82]	[F0:$82]
EDA6	5	FC 15 F0 81 FF	[FC:$15][F0:$81]	[FC:$15][F0:$81]
EDAB	3	F0 82 FF	[F0:$82]	[F0:$82]
EDAE	5	FC 63 F0 B1 FF	[FC:$63][F0:$B1]	[FC:$63][F0:$B1]
EDB3	3	F0 B2 FF	[F0:$B2]	[F0:$B2]
EDB6	5	FC 5C F0 A9 FF	[FC:$5C][F0:$A9]	[FC:$5C][F0:$A9]
EDBB	3	F0 AA FF	[F0:$AA]	[F0:$AA]
EDBE	5	A7 3A F0 81 FF	ゲンさん「[F0:$81]	ゲンさん「[F0:$81]
EDC3	3	F0 82 FF	[F0:$82]	[F0:$82]
EDC6	7	1A 01 1E 3A F0 81 FF	なかの「[F0:$81]	なかの「[F0:$81]
EDCD	3	F0 82 FF	[F0:$82]	[F0:$82]
EDD0	7	25 20 05 3A F0 89 FF	ゆみこ「[F0:$89]	ゆみこ「[F0:$89]
EDD7	3	F0 8A FF	[F0:$8A]	[F0:$8A]
EDDA	7	19 50 93 3A F0 81 FF	おばさん「[F0:$81]	おばさん「[F0:$81]
EDE1	3	F0 82 FF	[F0:$82]	[F0:$82]
EDE4	8	09 2E 16 2E 3A F0 81 FF	せんいん「[F0:$81]	せんいん「[F0:$81]
EDEC	3	F0 82 FF	[F0:$82]	[F0:$82]
EDEF	6	F2 43 E8 F0 81 FF	[F2:$E843][F0:$81]	ばんとう「[F0:$81]
EDF5	3	F0 82 FF	[F0:$82]	[F0:$82]
EDF8	7	0F 03 05 3A F0 81 FF	とくこ「[F0:$81]	とくこ「[F0:$81]
EDFF	3	F0 82 FF	[F0:$82]	[F0:$82]
EE02	7	19 50 93 3A F0 91 FF	おばさん「[F0:$91]	おばさん「[F0:$91]
EE09	3	F0 92 FF	[F0:$92]	[F0:$92]
EE0C	7	19 50 50 3A F0 81 FF	おばば「[F0:$81]	おばば「[F0:$81]
EE13	3	F0 82 FF	[F0:$82]	[F0:$82]
EE16	5	AD 3A F0 81 FF	うらた「[F0:$81]	うらた「[F0:$81]
EE1B	3	F0 82 FF	[F0:$82]	[F0:$82]
